size_m2,rooms,area,pets_allowed,floor,housing_type,rent_kr,listed_date,kilde
71.0,3,Vejlby,0,4+,privat,10000.0,2025-12-31,boligportal
65.0,3,Aarhus C,0,2,almen,7525.0,2024-12-27,boligportal
64.0,2,Trøjborg,0,stuen,privat,8550.0,2025-10-29,boligportal
77.0,3,Trøjborg,1,3,almen,7300.0,2024-11-25,boligportal
57.0,2,Aarhus C,1,3,privat,11600.0,2026-06-15,boligportal
118.0,4,Vejlby,1,stuen,privat,15225.0,2026-02-10,boligportal
22.0,1,Vejlby,1,3,almen,2200.0,2025-02-11,boligportal
86.0,4,Vejlby,0,2,privat,10725.0,2025-07-23,boligportal
54.0,3,Centrum,0,stuen,privat,9750.0,2025-11-18,boligportal
96.0,4,Risskov,0,4+,privat,14650.0,2024-10-30,boligportal
70.0,3,Skejby,0,4+,almen,6825.0,2024-08-31,boligportal
89.0,3,Trøjborg,0,1,privat,14100.0,2025-02-13,boligportal
75.0,2,Viby,1,stuen,privat,8625.0,2025-09-22,boligportal
70.0,3,Vejlby,0,2,privat,8575.0,2025-05-24,boligportal
108.0,5,Aarhus C,1,stuen,privat,19625.0,2024-12-31,boligportal
83.0,2,Brabrand,1,2,privat,9250.0,2025-03-09,boligportal
68.0,2,Hasle,1,1,privat,7875.0,2026-02-25,boligportal
54.0,2,Viby,1,1,almen,3900.0,2026-03-15,boligportal
83.0,3,Skejby,0,4+,almen,8300.0,2024-09-01,boligportal
84.0,3,Viby,0,stuen,privat,10525.0,2025-02-17,boligportal
70.0,2,Aarhus C,1,1,privat,13450.0,2026-06-11,boligportal
103.0,4,Viby,0,3,privat,11100.0,2026-07-18,boligportal
160.0,6,Viby,0,1,privat,20200.0,2025-12-12,boligportal
80.0,3,Centrum,0,2,privat,12975.0,2025-11-25,boligportal
67.0,2,Skejby,0,1,privat,8900.0,2026-04-08,boligportal
49.0,2,Aarhus C,0,2,privat,7950.0,2025-01-23,boligportal
37.0,1,Åbyhøj,0,1,privat,4675.0,2024-08-09,boligportal
43.0,1,Skejby,1,stuen,almen,3575.0,2026-01-07,boligportal
34.0,2,Skejby,1,2,privat,4775.0,2026-04-28,boligportal
101.0,4,Åbyhøj,1,2,privat,13050.0,2024-07-10,boligportal
77.0,3,Viby,0,3,almen,5525.0,2026-07-06,boligportal
16.0,1,Viby,1,1,privat,2200.0,2026-03-01,boligportal
84.0,4,Brabrand,0,stuen,privat,8550.0,2025-07-10,boligportal
119.0,4,Åbyhøj,1,1,almen,11475.0,2025-07-07,boligportal
46.0,3,Aarhus C,0,4+,privat,8200.0,2025-07-29,boligportal
63.0,3,Åbyhøj,1,2,privat,8075.0,2026-05-24,boligportal
62.0,2,Brabrand,0,1,almen,4200.0,2024-10-22,boligportal
36.0,2,Centrum,1,1,privat,6400.0,2025-06-23,boligportal
58.0,3,Hasle,0,1,almen,5325.0,2025-09-22,boligportal
57.0,2,Aarhus C,1,1,almen,5825.0,2024-09-16,boligportal
38.0,1,Trøjborg,0,1,almen,3625.0,2024-12-10,boligportal
75.0,2,Åbyhøj,0,1,privat,9875.0,2026-06-26,boligportal
48.0,2,Åbyhøj,1,1,almen,4025.0,2025-06-22,boligportal
68.0,2,Trøjborg,0,1,privat,9925.0,2026-02-10,boligportal
133.0,5,Viby,1,2,privat,13600.0,2026-02-18,boligportal
73.0,3,Aarhus C,0,1,privat,14050.0,2025-04-03,boligportal
56.0,3,Åbyhøj,0,2,almen,4900.0,2025-02-07,boligportal
110.0,5,Vejlby,0,stuen,almen,7800.0,2025-04-29,boligportal
69.0,2,Brabrand,0,4+,privat,7675.0,2026-01-09,boligportal
77.0,3,Skejby,1,stuen,almen,6800.0,2025-01-01,boligportal
73.0,2,Aarhus C,0,4+,privat,13525.0,2025-12-13,boligportal
83.0,4,Viby,1,1,privat,9000.0,2025-09-11,boligportal
43.0,2,Vejlby,0,3,almen,3350.0,2024-11-28,boligportal
90.0,4,Vejlby,1,2,privat,12225.0,2024-12-21,boligportal
76.0,3,Viby,0,stuen,privat,8900.0,2026-03-03,boligportal
22.0,1,Trøjborg,0,2,almen,2200.0,2024-12-11,boligportal
57.0,3,Risskov,0,3,almen,6375.0,2024-12-21,boligportal
95.0,4,Viby,1,1,almen,7450.0,2024-08-07,boligportal
56.0,2,Aarhus C,0,1,privat,10275.0,2025-04-25,boligportal
87.0,4,Vejlby,0,stuen,almen,6675.0,2025-03-27,boligportal
74.0,2,Trøjborg,1,1,privat,10500.0,2026-01-23,boligportal
70.0,3,Vejlby,1,2,privat,8900.0,2025-08-18,boligportal
85.0,3,Risskov,1,4+,privat,11975.0,2024-07-22,boligportal
114.0,3,Viby,1,3,privat,11500.0,2024-12-13,boligportal
127.0,5,Trøjborg,1,stuen,privat,19250.0,2024-09-24,boligportal
57.0,3,Viby,0,1,almen,4925.0,2025-01-13,boligportal
51.0,2,Viby,1,1,privat,5475.0,2024-09-22,boligportal
44.0,1,Aarhus C,0,4+,privat,6825.0,2025-06-30,boligportal
105.0,3,Trøjborg,0,stuen,privat,14475.0,2026-07-06,boligportal
83.0,2,Hasle,0,2,privat,10425.0,2024-11-03,boligportal
96.0,3,Centrum,0,4+,privat,17200.0,2025-02-20,boligportal
55.0,2,Åbyhøj,0,3,privat,6850.0,2025-11-29,boligportal
94.0,3,Risskov,0,1,privat,14350.0,2025-07-01,boligportal
76.0,2,Aarhus C,1,3,almen,8625.0,2026-07-03,boligportal
80.0,3,Hasle,0,1,privat,10000.0,2024-10-29,boligportal
23.0,1,Skejby,0,2,privat,2850.0,2025-08-26,boligportal
62.0,2,Åbyhøj,0,3,almen,5075.0,2026-05-27,boligportal
52.0,2,Åbyhøj,0,4+,almen,3575.0,2026-03-01,boligportal
76.0,4,Åbyhøj,0,3,privat,10050.0,2024-11-08,boligportal
58.0,1,Risskov,1,4+,privat,8125.0,2025-02-10,boligportal
38.0,2,Centrum,0,stuen,privat,6800.0,2025-08-20,boligportal
76.0,3,Skejby,1,stuen,privat,10425.0,2025-09-28,boligportal
81.0,3,Vejlby,1,stuen,almen,6725.0,2025-01-07,boligportal
72.0,3,Åbyhøj,0,3,almen,7200.0,2026-06-28,boligportal
88.0,4,Åbyhøj,1,3,almen,6700.0,2026-02-10,boligportal
82.0,3,Vejlby,0,stuen,almen,7275.0,2024-10-05,boligportal
85.0,3,Risskov,1,1,privat,12425.0,2026-05-13,boligportal
82.0,3,Skejby,1,1,almen,7625.0,2026-05-18,boligportal
54.0,2,Trøjborg,1,2,almen,5100.0,2025-11-12,boligportal
45.0,1,Åbyhøj,0,2,privat,5225.0,2024-11-09,boligportal
88.0,4,Risskov,0,3,almen,8900.0,2025-02-01,boligportal
18.0,1,Trøjborg,0,1,almen,2200.0,2024-08-21,boligportal
67.0,2,Centrum,0,2,privat,11175.0,2026-04-25,boligportal
83.0,4,Viby,1,1,privat,9550.0,2025-05-31,boligportal
75.0,3,Brabrand,0,2,almen,5275.0,2024-09-25,boligportal
71.0,3,Brabrand,0,4+,almen,5700.0,2025-02-07,boligportal
59.0,3,Aarhus C,0,1,almen,7100.0,2025-02-13,boligportal
39.0,2,Trøjborg,1,3,privat,5450.0,2025-11-10,boligportal
67.0,3,Viby,1,1,privat,8125.0,2026-07-01,boligportal
65.0,2,Aarhus C,1,2,privat,11925.0,2025-11-15,boligportal
56.0,3,Åbyhøj,0,stuen,privat,7500.0,2026-07-17,boligportal
85.0,4,Hasle,1,4+,almen,6950.0,2024-07-17,boligportal
27.0,1,Brabrand,1,1,almen,2200.0,2026-05-12,boligportal
60.0,3,Trøjborg,1,3,almen,5575.0,2024-11-12,boligportal
76.0,2,Åbyhøj,1,3,privat,9775.0,2025-02-09,boligportal
19.0,1,Risskov,1,1,privat,2675.0,2024-07-14,boligportal
75.0,2,Centrum,1,3,privat,12075.0,2026-04-09,boligportal
35.0,1,Hasle,0,3,privat,4175.0,2024-09-30,boligportal
74.0,2,Viby,0,2,privat,8275.0,2026-03-25,boligportal
46.0,1,Viby,0,stuen,almen,3500.0,2025-04-10,boligportal
48.0,2,Vejlby,0,3,privat,6075.0,2025-08-18,boligportal
92.0,4,Aarhus C,1,4+,privat,15475.0,2025-01-17,boligportal
71.0,3,Viby,0,3,almen,5275.0,2025-04-02,boligportal
34.0,1,Aarhus C,0,1,privat,5675.0,2025-03-02,boligportal
27.0,1,Skejby,1,1,privat,3675.0,2024-12-13,boligportal
113.0,3,Åbyhøj,0,1,privat,14250.0,2024-08-20,boligportal
47.0,3,Centrum,1,2,privat,7850.0,2024-09-16,boligportal
75.0,3,Viby,0,4+,privat,8575.0,2024-06-04,boligportal
47.0,1,Skejby,1,1,privat,6325.0,2024-06-04,boligportal
84.0,4,Aarhus C,0,4+,privat,14650.0,2026-06-24,boligportal
84.0,4,Centrum,0,1,almen,8725.0,2026-04-20,boligportal
83.0,4,Aarhus C,0,2,privat,15775.0,2026-05-09,boligportal
53.0,2,Risskov,1,stuen,privat,7750.0,2026-05-26,boligportal
84.0,3,Aarhus C,1,3,almen,8375.0,2026-02-12,boligportal
104.0,4,Aarhus C,0,4+,privat,20050.0,2025-10-30,boligportal
65.0,3,Åbyhøj,1,2,almen,5575.0,2026-06-08,boligportal
103.0,4,Brabrand,0,2,privat,8600.0,2026-06-10,boligportal
89.0,4,Viby,0,2,almen,6200.0,2024-10-11,boligportal
57.0,2,Trøjborg,1,3,privat,8100.0,2025-02-23,boligportal
88.0,3,Vejlby,0,1,privat,11275.0,2026-07-10,boligportal
66.0,3,Risskov,0,4+,privat,11100.0,2026-03-19,boligportal
36.0,2,Viby,0,1,almen,2625.0,2025-05-05,boligportal
47.0,2,Aarhus C,0,3,privat,8200.0,2025-06-15,boligportal
98.0,3,Åbyhøj,0,2,privat,11250.0,2025-09-11,boligportal
26.0,1,Skejby,0,1,privat,3175.0,2025-08-07,boligportal
57.0,2,Aarhus C,0,2,almen,6625.0,2025-08-10,boligportal
39.0,2,Centrum,1,4+,privat,7125.0,2025-07-02,boligportal
68.0,2,Vejlby,1,4+,almen,5500.0,2024-09-20,boligportal
121.0,5,Centrum,0,4+,privat,20775.0,2025-12-26,boligportal
54.0,1,Vejlby,1,stuen,almen,3850.0,2025-11-11,boligportal
49.0,1,Brabrand,0,2,almen,3375.0,2026-02-02,boligportal
54.0,2,Aarhus C,1,stuen,privat,9025.0,2025-01-23,boligportal
71.0,2,Åbyhøj,0,4+,privat,9850.0,2025-02-06,boligportal
142.0,5,Skejby,1,3,privat,18375.0,2025-04-07,boligportal
105.0,4,Risskov,0,3,privat,16300.0,2024-12-18,boligportal
16.0,1,Aarhus C,0,2,privat,3000.0,2026-07-01,boligportal
48.0,2,Risskov,0,3,privat,6975.0,2026-04-09,boligportal
103.0,4,Centrum,0,3,privat,16650.0,2025-08-10,boligportal
104.0,5,Brabrand,1,3,almen,7100.0,2024-11-25,boligportal
44.0,3,Vejlby,0,2,privat,5475.0,2025-06-28,boligportal
34.0,1,Åbyhøj,1,1,privat,4200.0,2024-07-12,boligportal
80.0,3,Trøjborg,0,2,privat,13025.0,2026-03-25,boligportal
101.0,4,Trøjborg,1,2,almen,8475.0,2025-09-02,boligportal
41.0,1,Åbyhøj,1,4+,privat,4675.0,2026-02-01,boligportal
80.0,3,Skejby,0,3,privat,10900.0,2025-04-11,boligportal
48.0,3,Aarhus C,0,3,privat,9000.0,2024-06-19,boligportal
81.0,3,Trøjborg,0,1,privat,10700.0,2025-05-23,boligportal
16.0,1,Viby,1,2,privat,2200.0,2025-01-21,boligportal
21.0,1,Viby,0,4+,almen,2200.0,2026-06-13,boligportal
77.0,3,Aarhus C,1,1,privat,14900.0,2025-03-04,boligportal
66.0,2,Vejlby,1,stuen,privat,7350.0,2025-02-06,boligportal
54.0,3,Trøjborg,0,1,almen,5275.0,2025-11-30,boligportal
71.0,3,Trøjborg,0,stuen,almen,6700.0,2025-11-11,boligportal
86.0,3,Aarhus C,0,2,privat,16775.0,2024-08-29,boligportal
58.0,2,Aarhus C,1,3,privat,10350.0,2026-04-19,boligportal
119.0,5,Vejlby,1,1,privat,14825.0,2026-01-25,boligportal
33.0,2,Brabrand,0,2,privat,3500.0,2025-04-19,boligportal
66.0,4,Aarhus C,0,4+,privat,12850.0,2025-08-03,boligportal
32.0,2,Trøjborg,0,3,almen,3600.0,2026-05-19,boligportal
89.0,4,Vejlby,0,stuen,privat,11725.0,2026-03-30,boligportal
58.0,3,Centrum,1,stuen,privat,9625.0,2025-04-20,boligportal
82.0,2,Vejlby,0,2,privat,10800.0,2025-04-14,boligportal
74.0,1,Vejlby,0,2,privat,7800.0,2025-10-11,boligportal
68.0,2,Aarhus C,0,2,privat,11500.0,2025-01-17,boligportal
48.0,1,Risskov,1,1,privat,7325.0,2024-06-16,boligportal
99.0,4,Centrum,1,2,privat,18300.0,2026-04-04,boligportal
105.0,3,Trøjborg,0,3,almen,11125.0,2026-03-17,boligportal
55.0,3,Hasle,0,4+,privat,6225.0,2025-10-07,boligportal
87.0,4,Risskov,0,1,almen,9025.0,2026-04-09,boligportal
70.0,2,Centrum,0,2,privat,12275.0,2025-01-07,boligportal
88.0,3,Risskov,0,1,almen,8600.0,2026-02-23,boligportal
96.0,3,Centrum,1,1,almen,9825.0,2026-04-01,boligportal
47.0,1,Brabrand,0,1,almen,3450.0,2025-07-30,boligportal
93.0,3,Viby,0,3,privat,10850.0,2024-08-27,boligportal
40.0,1,Viby,1,3,privat,4050.0,2024-09-17,boligportal
68.0,3,Centrum,1,1,almen,7125.0,2026-02-22,boligportal
80.0,3,Hasle,1,1,privat,9250.0,2025-05-10,boligportal
66.0,3,Viby,0,1,privat,7050.0,2025-04-26,boligportal
66.0,3,Brabrand,0,3,privat,7100.0,2024-07-08,boligportal
56.0,2,Hasle,1,stuen,almen,4125.0,2025-01-13,boligportal
97.0,3,Aarhus C,1,3,privat,18175.0,2025-09-04,boligportal
40.0,2,Skejby,0,4+,privat,4975.0,2025-03-11,boligportal
80.0,3,Centrum,0,2,almen,9750.0,2026-05-14,boligportal
87.0,4,Aarhus C,0,1,almen,10450.0,2024-12-14,boligportal
37.0,1,Skejby,1,3,privat,4400.0,2024-11-13,boligportal
124.0,5,Åbyhøj,0,1,almen,12600.0,2025-11-21,boligportal
76.0,3,Viby,0,stuen,privat,8100.0,2024-06-26,boligportal
60.0,2,Skejby,1,3,privat,7600.0,2025-06-15,boligportal
48.0,2,Centrum,0,1,almen,5525.0,2026-04-17,boligportal
38.0,2,Risskov,1,3,privat,5525.0,2025-11-29,boligportal
76.0,3,Centrum,1,3,almen,8650.0,2025-08-08,boligportal
70.0,3,Åbyhøj,0,1,privat,8825.0,2025-02-26,boligportal
82.0,3,Hasle,0,4+,privat,10425.0,2025-10-28,boligportal
86.0,4,Åbyhøj,1,4+,privat,11475.0,2025-04-22,boligportal
74.0,3,Vejlby,0,3,privat,9050.0,2025-09-26,boligportal
29.0,2,Aarhus C,1,2,privat,5175.0,2025-01-03,boligportal
95.0,3,Åbyhøj,1,1,privat,11750.0,2025-04-08,boligportal
86.0,4,Skejby,1,3,almen,7350.0,2024-09-07,boligportal
76.0,3,Trøjborg,0,1,almen,7750.0,2025-06-08,boligportal
106.0,5,Aarhus C,0,1,privat,17450.0,2025-07-21,boligportal
96.0,4,Trøjborg,0,2,almen,8550.0,2025-03-24,boligportal
60.0,3,Aarhus C,1,3,privat,10825.0,2025-06-19,boligportal
81.0,3,Trøjborg,0,4+,privat,11225.0,2026-01-30,boligportal
96.0,4,Aarhus C,0,3,privat,18925.0,2025-04-05,boligportal
63.0,3,Aarhus C,0,2,privat,12200.0,2025-11-06,boligportal
39.0,2,Åbyhøj,1,4+,almen,3700.0,2025-07-25,boligportal
74.0,3,Vejlby,0,3,privat,8675.0,2024-11-29,boligportal
54.0,2,Centrum,0,stuen,privat,9300.0,2025-05-24,boligportal
101.0,3,Trøjborg,0,2,almen,9500.0,2024-08-15,boligportal
112.0,4,Aarhus C,0,3,almen,12725.0,2024-07-27,boligportal
118.0,4,Aarhus C,0,stuen,privat,20825.0,2025-01-24,boligportal
103.0,4,Risskov,1,stuen,privat,15725.0,2024-07-12,boligportal
127.0,5,Vejlby,0,stuen,privat,15325.0,2025-11-03,boligportal
57.0,2,Brabrand,0,stuen,privat,5225.0,2024-07-27,boligportal
80.0,4,Viby,1,1,almen,7000.0,2026-06-28,boligportal
71.0,2,Brabrand,0,1,privat,7700.0,2026-04-22,aarhusbolig
83.0,3,Centrum,0,1,almen,10275.0,2025-10-30,aarhusbolig
79.0,3,Åbyhøj,0,1,privat,10525.0,2025-05-31,aarhusbolig
79.0,3,Aarhus C,0,2,privat,14675.0,2024-08-05,aarhusbolig
81.0,3,Viby,0,stuen,almen,5075.0,2026-03-08,aarhusbolig
67.0,2,Hasle,0,1,almen,5300.0,2026-06-02,aarhusbolig
69.0,3,Hasle,1,2,privat,8400.0,2024-07-12,aarhusbolig
62.0,4,Centrum,1,3,privat,10950.0,2024-08-27,aarhusbolig
67.0,2,Hasle,0,1,privat,7950.0,2025-09-27,aarhusbolig
63.0,2,Brabrand,1,3,privat,6475.0,2024-10-21,aarhusbolig
40.0,1,Brabrand,1,3,privat,4800.0,2025-04-06,aarhusbolig
16.0,1,Hasle,0,stuen,almen,2200.0,2025-04-21,aarhusbolig
49.0,2,Aarhus C,1,1,privat,9225.0,2024-08-19,aarhusbolig
65.0,2,Centrum,1,4+,privat,11875.0,2024-06-04,aarhusbolig
35.0,1,Centrum,0,stuen,almen,4100.0,2024-10-24,aarhusbolig
36.0,2,Aarhus C,1,1,privat,5850.0,2026-07-13,aarhusbolig
27.0,1,Vejlby,0,3,almen,2200.0,2024-12-03,aarhusbolig
75.0,3,Hasle,1,3,almen,6125.0,2024-12-24,aarhusbolig
90.0,3,Trøjborg,1,1,almen,8375.0,2026-02-10,aarhusbolig
78.0,2,Centrum,0,stuen,privat,13025.0,2024-08-02,aarhusbolig
89.0,3,Hasle,0,1,almen,6850.0,2025-09-16,aarhusbolig
91.0,4,Trøjborg,0,stuen,almen,9700.0,2024-12-05,aarhusbolig
56.0,2,Skejby,0,1,privat,7000.0,2024-11-15,aarhusbolig
91.0,4,Hasle,1,2,almen,7525.0,2025-10-23,aarhusbolig
87.0,2,Centrum,0,4+,privat,14900.0,2024-06-25,aarhusbolig
54.0,2,Centrum,0,2,privat,10000.0,2024-10-23,aarhusbolig
72.0,3,Brabrand,0,1,privat,7250.0,2026-02-06,aarhusbolig
72.0,3,Trøjborg,1,2,privat,9725.0,2025-12-27,aarhusbolig
20.0,1,Centrum,0,1,privat,3350.0,2025-02-10,aarhusbolig
98.0,4,Hasle,0,3,privat,11375.0,2024-12-13,aarhusbolig
54.0,2,Risskov,1,1,privat,8425.0,2024-10-18,aarhusbolig
44.0,1,Aarhus C,0,1,almen,4725.0,2025-06-07,aarhusbolig
70.0,3,Hasle,0,stuen,privat,8775.0,2026-06-20,aarhusbolig
69.0,3,Aarhus C,0,3,almen,8200.0,2025-12-31,aarhusbolig
56.0,1,Åbyhøj,0,4+,almen,3600.0,2024-06-13,aarhusbolig
49.0,2,Aarhus C,1,stuen,almen,5975.0,2025-12-29,aarhusbolig
41.0,1,Trøjborg,0,2,privat,6700.0,2026-07-23,aarhusbolig
69.0,3,Åbyhøj,1,1,almen,5200.0,2025-09-07,aarhusbolig
49.0,2,Vejlby,1,2,almen,4050.0,2024-09-13,aarhusbolig
67.0,3,Hasle,0,3,privat,8050.0,2025-05-19,aarhusbolig
72.0,3,Aarhus C,1,3,privat,13025.0,2025-03-21,aarhusbolig
67.0,2,Centrum,1,2,almen,7400.0,2026-04-10,aarhusbolig
61.0,3,Skejby,0,2,almen,5350.0,2025-02-05,aarhusbolig
19.0,1,Risskov,0,3,almen,2200.0,2026-03-03,aarhusbolig
76.0,3,Vejlby,1,1,almen,6350.0,2025-01-05,aarhusbolig
88.0,3,Risskov,0,2,almen,7750.0,2024-08-08,aarhusbolig
56.0,2,Risskov,0,2,privat,8325.0,2024-08-14,aarhusbolig
76.0,3,Hasle,0,stuen,almen,7225.0,2024-11-18,aarhusbolig
56.0,2,Viby,1,4+,privat,6825.0,2025-06-02,aarhusbolig
75.0,3,Trøjborg,0,3,almen,6875.0,2025-09-04,aarhusbolig
82.0,3,Aarhus C,0,stuen,privat,15250.0,2026-02-08,aarhusbolig
67.0,3,Centrum,0,1,almen,7025.0,2025-11-05,aarhusbolig
70.0,2,Åbyhøj,0,2,privat,9050.0,2024-12-31,aarhusbolig
103.0,4,Viby,1,1,privat,11800.0,2025-05-02,aarhusbolig
100.0,3,Åbyhøj,1,2,almen,7600.0,2026-05-29,aarhusbolig
100.0,4,Aarhus C,0,2,almen,11550.0,2025-08-21,aarhusbolig
84.0,3,Aarhus C,1,2,almen,11625.0,2026-05-31,aarhusbolig
49.0,2,Trøjborg,1,stuen,almen,4075.0,2026-02-06,aarhusbolig
77.0,2,Viby,1,4+,privat,8300.0,2026-06-22,aarhusbolig
45.0,1,Hasle,0,stuen,privat,4900.0,2026-03-22,aarhusbolig
54.0,2,Hasle,0,3,privat,6125.0,2026-03-26,aarhusbolig
62.0,2,Åbyhøj,0,2,privat,7725.0,2026-01-01,aarhusbolig
67.0,4,Brabrand,1,2,almen,4325.0,2025-09-29,aarhusbolig
42.0,2,Aarhus C,0,2,almen,4825.0,2025-06-04,aarhusbolig
55.0,2,Brabrand,1,3,almen,4050.0,2024-11-18,aarhusbolig
79.0,2,Trøjborg,0,2,privat,11625.0,2025-06-29,aarhusbolig
64.0,3,Aarhus C,1,3,privat,10800.0,2026-03-19,aarhusbolig
43.0,2,Viby,1,4+,privat,5025.0,2024-09-25,aarhusbolig
76.0,3,Aarhus C,0,stuen,almen,8500.0,2025-01-27,aarhusbolig
41.0,1,Viby,0,1,almen,3400.0,2024-12-16,aarhusbolig
93.0,4,Trøjborg,1,1,privat,13000.0,2024-12-23,aarhusbolig
48.0,2,Centrum,0,1,privat,8050.0,2025-02-10,aarhusbolig
72.0,2,Hasle,1,3,privat,8125.0,2025-07-20,aarhusbolig
43.0,2,Trøjborg,0,stuen,privat,6500.0,2025-10-21,aarhusbolig
38.0,1,Aarhus C,0,stuen,almen,4025.0,2026-07-08,aarhusbolig
83.0,4,Trøjborg,1,2,privat,12350.0,2024-10-25,aarhusbolig
34.0,1,Risskov,1,2,privat,5200.0,2026-05-07,aarhusbolig
48.0,2,Brabrand,1,2,privat,5375.0,2024-08-19,aarhusbolig
58.0,1,Åbyhøj,0,2,privat,7500.0,2025-09-17,aarhusbolig
91.0,3,Vejlby,0,3,privat,11025.0,2024-12-28,aarhusbolig
91.0,4,Aarhus C,1,1,privat,16400.0,2026-05-29,aarhusbolig
69.0,2,Åbyhøj,0,1,privat,8575.0,2024-07-29,aarhusbolig
44.0,2,Vejlby,0,3,privat,5925.0,2025-06-03,aarhusbolig
91.0,2,Vejlby,0,2,privat,11200.0,2025-10-24,aarhusbolig
55.0,2,Viby,0,4+,almen,4125.0,2025-01-04,aarhusbolig
48.0,2,Risskov,1,3,privat,7950.0,2026-03-20,aarhusbolig
52.0,3,Skejby,0,2,almen,5100.0,2025-09-22,aarhusbolig
42.0,1,Vejlby,1,1,privat,4950.0,2024-10-18,aarhusbolig
61.0,3,Trøjborg,0,4+,almen,6375.0,2024-12-11,aarhusbolig
74.0,3,Risskov,0,2,almen,7950.0,2025-03-04,aarhusbolig
21.0,1,Aarhus C,0,1,privat,4150.0,2024-06-13,aarhusbolig
32.0,2,Trøjborg,0,3,almen,3025.0,2025-05-01,aarhusbolig
80.0,3,Skejby,1,stuen,privat,10150.0,2025-01-25,aarhusbolig
51.0,1,Aarhus C,0,3,privat,9225.0,2026-04-28,aarhusbolig
47.0,3,Centrum,1,2,almen,5325.0,2024-09-27,aarhusbolig
106.0,4,Centrum,0,1,privat,17650.0,2026-06-30,aarhusbolig
84.0,3,Hasle,1,stuen,privat,9825.0,2025-09-22,aarhusbolig
64.0,2,Centrum,0,1,almen,7625.0,2025-05-02,aarhusbolig
55.0,2,Trøjborg,0,1,privat,7250.0,2025-09-09,aarhusbolig
44.0,2,Centrum,1,1,almen,5200.0,2024-11-11,aarhusbolig
91.0,3,Risskov,1,1,almen,9550.0,2025-10-09,aarhusbolig
