size_m2,rooms,area,pets_allowed,floor,housing_type,rent_kr,listed_date,kilde,befolkningstal,andel_studerende_pct,afstand_til_centrum_km,price_per_m2,listed_month,is_almen
35.0,2,Risskov,0,3,privat,5275.0,2025-02-02,boligportal,9400,12,4.8,150.7,2,0
68.0,3,Centrum,0,stuen,almen,8000.0,2024-12-01,boligportal,6100,22,0.2,117.6,12,1
46.0,2,Centrum,0,2,privat,8250.0,2024-08-10,boligportal,6100,22,0.2,179.3,8,0
62.0,2,Vejlby,1,1,almen,5900.0,2024-07-19,boligportal,9800,20,5.2,95.2,7,1
71.0,3,Vejlby,0,4+,privat,10000.0,2025-12-31,boligportal,9800,20,5.2,140.8,12,0
65.0,3,Aarhus C,0,2,almen,7525.0,2024-12-27,boligportal,8200,18,0.5,115.8,12,1
64.0,2,Trøjborg,0,stuen,privat,8550.0,2025-10-29,boligportal,7300,45,2.1,133.6,10,0
77.0,3,Trøjborg,1,3,almen,7300.0,2024-11-25,boligportal,7300,45,2.1,94.8,11,1
57.0,2,Aarhus C,1,3,privat,11600.0,2026-06-15,boligportal,8200,18,0.5,203.5,6,0
118.0,4,Vejlby,1,stuen,privat,15225.0,2026-02-10,boligportal,9800,20,5.2,129.0,2,0
22.0,1,Vejlby,1,3,almen,2200.0,2025-02-11,boligportal,9800,20,5.2,100.0,2,1
86.0,4,Vejlby,0,2,privat,10725.0,2025-07-23,boligportal,9800,20,5.2,124.7,7,0
54.0,3,Centrum,0,stuen,privat,9750.0,2025-11-18,boligportal,6100,22,0.2,180.6,11,0
96.0,4,Risskov,0,4+,privat,14650.0,2024-10-30,boligportal,9400,12,4.8,152.6,10,0
70.0,3,Skejby,0,4+,almen,6825.0,2024-08-31,boligportal,6700,8,7.8,97.5,8,1
89.0,3,Trøjborg,0,1,privat,14100.0,2025-02-13,boligportal,7300,45,2.1,158.4,2,0
75.0,2,Viby,1,stuen,privat,8625.0,2025-09-22,boligportal,15600,28,6.0,115.0,9,0
70.0,3,Vejlby,0,2,privat,8575.0,2025-05-24,boligportal,9800,20,5.2,122.5,5,0
108.0,5,Aarhus C,1,stuen,privat,19625.0,2024-12-31,boligportal,8200,18,0.5,181.7,12,0
83.0,2,Brabrand,1,2,privat,9250.0,2025-03-09,boligportal,13100,24,5.5,111.4,3,0
68.0,2,Hasle,1,1,privat,7875.0,2026-02-25,boligportal,10300,19,3.9,115.8,2,0
54.0,2,Viby,1,1,almen,3900.0,2026-03-15,boligportal,15600,28,6.0,72.2,3,1
83.0,3,Skejby,0,4+,almen,8300.0,2024-09-01,boligportal,6700,8,7.8,100.0,9,1
84.0,3,Viby,0,stuen,privat,10525.0,2025-02-17,boligportal,15600,28,6.0,125.3,2,0
70.0,2,Aarhus C,1,1,privat,13450.0,2026-06-11,boligportal,8200,18,0.5,192.1,6,0
103.0,4,Viby,0,3,privat,11100.0,2026-07-18,boligportal,15600,28,6.0,107.8,7,0
160.0,6,Viby,0,1,privat,20200.0,2025-12-12,boligportal,15600,28,6.0,126.2,12,0
80.0,3,Centrum,0,2,privat,12975.0,2025-11-25,boligportal,6100,22,0.2,162.2,11,0
67.0,2,Skejby,0,1,privat,8900.0,2026-04-08,boligportal,6700,8,7.8,132.8,4,0
49.0,2,Aarhus C,0,2,privat,7950.0,2025-01-23,boligportal,8200,18,0.5,162.2,1,0
37.0,1,Åbyhøj,0,1,privat,4675.0,2024-08-09,boligportal,11200,15,3.5,126.4,8,0
43.0,1,Skejby,1,stuen,almen,3575.0,2026-01-07,boligportal,6700,8,7.8,83.1,1,1
34.0,2,Skejby,1,2,privat,4775.0,2026-04-28,boligportal,6700,8,7.8,140.4,4,0
101.0,4,Åbyhøj,1,2,privat,13050.0,2024-07-10,boligportal,11200,15,3.5,129.2,7,0
77.0,3,Viby,0,3,almen,5525.0,2026-07-06,boligportal,15600,28,6.0,71.8,7,1
16.0,1,Viby,1,1,privat,2200.0,2026-03-01,boligportal,15600,28,6.0,137.5,3,0
84.0,4,Brabrand,0,stuen,privat,8550.0,2025-07-10,boligportal,13100,24,5.5,101.8,7,0
119.0,4,Åbyhøj,1,1,almen,11475.0,2025-07-07,boligportal,11200,15,3.5,96.4,7,1
46.0,3,Aarhus C,0,4+,privat,8200.0,2025-07-29,boligportal,8200,18,0.5,178.3,7,0
63.0,3,Åbyhøj,1,2,privat,8075.0,2026-05-24,boligportal,11200,15,3.5,128.2,5,0
62.0,2,Brabrand,0,1,almen,4200.0,2024-10-22,boligportal,13100,24,5.5,67.7,10,1
36.0,2,Centrum,1,1,privat,6400.0,2025-06-23,boligportal,6100,22,0.2,177.8,6,0
58.0,3,Hasle,0,1,almen,5325.0,2025-09-22,boligportal,10300,19,3.9,91.8,9,1
57.0,2,Aarhus C,1,1,almen,5825.0,2024-09-16,boligportal,8200,18,0.5,102.2,9,1
38.0,1,Trøjborg,0,1,almen,3625.0,2024-12-10,boligportal,7300,45,2.1,95.4,12,1
75.0,2,Åbyhøj,0,1,privat,9875.0,2026-06-26,boligportal,11200,15,3.5,131.7,6,0
48.0,2,Åbyhøj,1,1,almen,4025.0,2025-06-22,boligportal,11200,15,3.5,83.9,6,1
68.0,2,Trøjborg,0,1,privat,9925.0,2026-02-10,boligportal,7300,45,2.1,146.0,2,0
133.0,5,Viby,1,2,privat,13600.0,2026-02-18,boligportal,15600,28,6.0,102.3,2,0
73.0,3,Aarhus C,0,1,privat,14050.0,2025-04-03,boligportal,8200,18,0.5,192.5,4,0
56.0,3,Åbyhøj,0,2,almen,4900.0,2025-02-07,boligportal,11200,15,3.5,87.5,2,1
110.0,5,Vejlby,0,stuen,almen,7800.0,2025-04-29,boligportal,9800,20,5.2,70.9,4,1
69.0,2,Brabrand,0,4+,privat,7675.0,2026-01-09,boligportal,13100,24,5.5,111.2,1,0
77.0,3,Skejby,1,stuen,almen,6800.0,2025-01-01,boligportal,6700,8,7.8,88.3,1,1
73.0,2,Aarhus C,0,4+,privat,13525.0,2025-12-13,boligportal,8200,18,0.5,185.3,12,0
83.0,4,Viby,1,1,privat,9000.0,2025-09-11,boligportal,15600,28,6.0,108.4,9,0
43.0,2,Vejlby,0,3,almen,3350.0,2024-11-28,boligportal,9800,20,5.2,77.9,11,1
90.0,4,Vejlby,1,2,privat,12225.0,2024-12-21,boligportal,9800,20,5.2,135.8,12,0
76.0,3,Viby,0,stuen,privat,8900.0,2026-03-03,boligportal,15600,28,6.0,117.1,3,0
22.0,1,Trøjborg,0,2,almen,2200.0,2024-12-11,boligportal,7300,45,2.1,100.0,12,1
57.0,3,Risskov,0,3,almen,6375.0,2024-12-21,boligportal,9400,12,4.8,111.8,12,1
95.0,4,Viby,1,1,almen,7450.0,2024-08-07,boligportal,15600,28,6.0,78.4,8,1
56.0,2,Aarhus C,0,1,privat,10275.0,2025-04-25,boligportal,8200,18,0.5,183.5,4,0
87.0,4,Vejlby,0,stuen,almen,6675.0,2025-03-27,boligportal,9800,20,5.2,76.7,3,1
74.0,2,Trøjborg,1,1,privat,10500.0,2026-01-23,boligportal,7300,45,2.1,141.9,1,0
70.0,3,Vejlby,1,2,privat,8900.0,2025-08-18,boligportal,9800,20,5.2,127.1,8,0
85.0,3,Risskov,1,4+,privat,11975.0,2024-07-22,boligportal,9400,12,4.8,140.9,7,0
114.0,3,Viby,1,3,privat,11500.0,2024-12-13,boligportal,15600,28,6.0,100.9,12,0
127.0,5,Trøjborg,1,stuen,privat,19250.0,2024-09-24,boligportal,7300,45,2.1,151.6,9,0
57.0,3,Viby,0,1,almen,4925.0,2025-01-13,boligportal,15600,28,6.0,86.4,1,1
51.0,2,Viby,1,1,privat,5475.0,2024-09-22,boligportal,15600,28,6.0,107.4,9,0
44.0,1,Aarhus C,0,4+,privat,6825.0,2025-06-30,boligportal,8200,18,0.5,155.1,6,0
105.0,3,Trøjborg,0,stuen,privat,14475.0,2026-07-06,boligportal,7300,45,2.1,137.9,7,0
83.0,2,Hasle,0,2,privat,10425.0,2024-11-03,boligportal,10300,19,3.9,125.6,11,0
96.0,3,Centrum,0,4+,privat,17200.0,2025-02-20,boligportal,6100,22,0.2,179.2,2,0
55.0,2,Åbyhøj,0,3,privat,6850.0,2025-11-29,boligportal,11200,15,3.5,124.5,11,0
94.0,3,Risskov,0,1,privat,14350.0,2025-07-01,boligportal,9400,12,4.8,152.7,7,0
76.0,2,Aarhus C,1,3,almen,8625.0,2026-07-03,boligportal,8200,18,0.5,113.5,7,1
80.0,3,Hasle,0,1,privat,10000.0,2024-10-29,boligportal,10300,19,3.9,125.0,10,0
23.0,1,Skejby,0,2,privat,2850.0,2025-08-26,boligportal,6700,8,7.8,123.9,8,0
62.0,2,Åbyhøj,0,3,almen,5075.0,2026-05-27,boligportal,11200,15,3.5,81.9,5,1
52.0,2,Åbyhøj,0,4+,almen,3575.0,2026-03-01,boligportal,11200,15,3.5,68.8,3,1
76.0,4,Åbyhøj,0,3,privat,10050.0,2024-11-08,boligportal,11200,15,3.5,132.2,11,0
58.0,1,Risskov,1,4+,privat,8125.0,2025-02-10,boligportal,9400,12,4.8,140.1,2,0
38.0,2,Centrum,0,stuen,privat,6800.0,2025-08-20,boligportal,6100,22,0.2,178.9,8,0
76.0,3,Skejby,1,stuen,privat,10425.0,2025-09-28,boligportal,6700,8,7.8,137.2,9,0
81.0,3,Vejlby,1,stuen,almen,6725.0,2025-01-07,boligportal,9800,20,5.2,83.0,1,1
72.0,3,Åbyhøj,0,3,almen,7200.0,2026-06-28,boligportal,11200,15,3.5,100.0,6,1
88.0,4,Åbyhøj,1,3,almen,6700.0,2026-02-10,boligportal,11200,15,3.5,76.1,2,1
82.0,3,Vejlby,0,stuen,almen,7275.0,2024-10-05,boligportal,9800,20,5.2,88.7,10,1
85.0,3,Risskov,1,1,privat,12425.0,2026-05-13,boligportal,9400,12,4.8,146.2,5,0
82.0,3,Skejby,1,1,almen,7625.0,2026-05-18,boligportal,6700,8,7.8,93.0,5,1
54.0,2,Trøjborg,1,2,almen,5100.0,2025-11-12,boligportal,7300,45,2.1,94.4,11,1
45.0,1,Åbyhøj,0,2,privat,5225.0,2024-11-09,boligportal,11200,15,3.5,116.1,11,0
88.0,4,Risskov,0,3,almen,8900.0,2025-02-01,boligportal,9400,12,4.8,101.1,2,1
18.0,1,Trøjborg,0,1,almen,2200.0,2024-08-21,boligportal,7300,45,2.1,122.2,8,1
67.0,2,Centrum,0,2,privat,11175.0,2026-04-25,boligportal,6100,22,0.2,166.8,4,0
83.0,4,Viby,1,1,privat,9550.0,2025-05-31,boligportal,15600,28,6.0,115.1,5,0
75.0,3,Brabrand,0,2,almen,5275.0,2024-09-25,boligportal,13100,24,5.5,70.3,9,1
71.0,3,Brabrand,0,4+,almen,5700.0,2025-02-07,boligportal,13100,24,5.5,80.3,2,1
59.0,3,Aarhus C,0,1,almen,7100.0,2025-02-13,boligportal,8200,18,0.5,120.3,2,1
39.0,2,Trøjborg,1,3,privat,5450.0,2025-11-10,boligportal,7300,45,2.1,139.7,11,0
67.0,3,Viby,1,1,privat,8125.0,2026-07-01,boligportal,15600,28,6.0,121.3,7,0
65.0,2,Aarhus C,1,2,privat,11925.0,2025-11-15,boligportal,8200,18,0.5,183.5,11,0
56.0,3,Åbyhøj,0,stuen,privat,7500.0,2026-07-17,boligportal,11200,15,3.5,133.9,7,0
85.0,4,Hasle,1,4+,almen,6950.0,2024-07-17,boligportal,10300,19,3.9,81.8,7,1
27.0,1,Brabrand,1,1,almen,2200.0,2026-05-12,boligportal,13100,24,5.5,81.5,5,1
60.0,3,Trøjborg,1,3,almen,5575.0,2024-11-12,boligportal,7300,45,2.1,92.9,11,1
76.0,2,Åbyhøj,1,3,privat,9775.0,2025-02-09,boligportal,11200,15,3.5,128.6,2,0
19.0,1,Risskov,1,1,privat,2675.0,2024-07-14,boligportal,9400,12,4.8,140.8,7,0
75.0,2,Centrum,1,3,privat,12075.0,2026-04-09,boligportal,6100,22,0.2,161.0,4,0
35.0,1,Hasle,0,3,privat,4175.0,2024-09-30,boligportal,10300,19,3.9,119.3,9,0
74.0,2,Viby,0,2,privat,8275.0,2026-03-25,boligportal,15600,28,6.0,111.8,3,0
46.0,1,Viby,0,stuen,almen,3500.0,2025-04-10,boligportal,15600,28,6.0,76.1,4,1
48.0,2,Vejlby,0,3,privat,6075.0,2025-08-18,boligportal,9800,20,5.2,126.6,8,0
92.0,4,Aarhus C,1,4+,privat,15475.0,2025-01-17,boligportal,8200,18,0.5,168.2,1,0
71.0,3,Viby,0,3,almen,5275.0,2025-04-02,boligportal,15600,28,6.0,74.3,4,1
34.0,1,Aarhus C,0,1,privat,5675.0,2025-03-02,boligportal,8200,18,0.5,166.9,3,0
27.0,1,Skejby,1,1,privat,3675.0,2024-12-13,boligportal,6700,8,7.8,136.1,12,0
113.0,3,Åbyhøj,0,1,privat,14250.0,2024-08-20,boligportal,11200,15,3.5,126.1,8,0
47.0,3,Centrum,1,2,privat,7850.0,2024-09-16,boligportal,6100,22,0.2,167.0,9,0
75.0,3,Viby,0,4+,privat,8575.0,2024-06-04,boligportal,15600,28,6.0,114.3,6,0
47.0,1,Skejby,1,1,privat,6325.0,2024-06-04,boligportal,6700,8,7.8,134.6,6,0
84.0,4,Aarhus C,0,4+,privat,14650.0,2026-06-24,boligportal,8200,18,0.5,174.4,6,0
84.0,4,Centrum,0,1,almen,8725.0,2026-04-20,boligportal,6100,22,0.2,103.9,4,1
83.0,4,Aarhus C,0,2,privat,15775.0,2026-05-09,boligportal,8200,18,0.5,190.1,5,0
53.0,2,Risskov,1,stuen,privat,7750.0,2026-05-26,boligportal,9400,12,4.8,146.2,5,0
84.0,3,Aarhus C,1,3,almen,8375.0,2026-02-12,boligportal,8200,18,0.5,99.7,2,1
104.0,4,Aarhus C,0,4+,privat,20050.0,2025-10-30,boligportal,8200,18,0.5,192.8,10,0
65.0,3,Åbyhøj,1,2,almen,5575.0,2026-06-08,boligportal,11200,15,3.5,85.8,6,1
103.0,4,Brabrand,0,2,privat,8600.0,2026-06-10,boligportal,13100,24,5.5,83.5,6,0
89.0,4,Viby,0,2,almen,6200.0,2024-10-11,boligportal,15600,28,6.0,69.7,10,1
57.0,2,Trøjborg,1,3,privat,8100.0,2025-02-23,boligportal,7300,45,2.1,142.1,2,0
88.0,3,Vejlby,0,1,privat,11275.0,2026-07-10,boligportal,9800,20,5.2,128.1,7,0
66.0,3,Risskov,0,4+,privat,11100.0,2026-03-19,boligportal,9400,12,4.8,168.2,3,0
36.0,2,Viby,0,1,almen,2625.0,2025-05-05,boligportal,15600,28,6.0,72.9,5,1
47.0,2,Aarhus C,0,3,privat,8200.0,2025-06-15,boligportal,8200,18,0.5,174.5,6,0
98.0,3,Åbyhøj,0,2,privat,11250.0,2025-09-11,boligportal,11200,15,3.5,114.8,9,0
26.0,1,Skejby,0,1,privat,3175.0,2025-08-07,boligportal,6700,8,7.8,122.1,8,0
57.0,2,Aarhus C,0,2,almen,6625.0,2025-08-10,boligportal,8200,18,0.5,116.2,8,1
39.0,2,Centrum,1,4+,privat,7125.0,2025-07-02,boligportal,6100,22,0.2,182.7,7,0
68.0,2,Vejlby,1,4+,almen,5500.0,2024-09-20,boligportal,9800,20,5.2,80.9,9,1
121.0,5,Centrum,0,4+,privat,20775.0,2025-12-26,boligportal,6100,22,0.2,171.7,12,0
54.0,1,Vejlby,1,stuen,almen,3850.0,2025-11-11,boligportal,9800,20,5.2,71.3,11,1
49.0,1,Brabrand,0,2,almen,3375.0,2026-02-02,boligportal,13100,24,5.5,68.9,2,1
54.0,2,Aarhus C,1,stuen,privat,9025.0,2025-01-23,boligportal,8200,18,0.5,167.1,1,0
71.0,2,Åbyhøj,0,4+,privat,9850.0,2025-02-06,boligportal,11200,15,3.5,138.7,2,0
142.0,5,Skejby,1,3,privat,18375.0,2025-04-07,boligportal,6700,8,7.8,129.4,4,0
105.0,4,Risskov,0,3,privat,16300.0,2024-12-18,boligportal,9400,12,4.8,155.2,12,0
16.0,1,Aarhus C,0,2,privat,3000.0,2026-07-01,boligportal,8200,18,0.5,187.5,7,0
48.0,2,Risskov,0,3,privat,6975.0,2026-04-09,boligportal,9400,12,4.8,145.3,4,0
103.0,4,Centrum,0,3,privat,16650.0,2025-08-10,boligportal,6100,22,0.2,161.7,8,0
104.0,5,Brabrand,1,3,almen,7100.0,2024-11-25,boligportal,13100,24,5.5,68.3,11,1
44.0,3,Vejlby,0,2,privat,5475.0,2025-06-28,boligportal,9800,20,5.2,124.4,6,0
34.0,1,Åbyhøj,1,1,privat,4200.0,2024-07-12,boligportal,11200,15,3.5,123.5,7,0
80.0,3,Trøjborg,0,2,privat,13025.0,2026-03-25,boligportal,7300,45,2.1,162.8,3,0
101.0,4,Trøjborg,1,2,almen,8475.0,2025-09-02,boligportal,7300,45,2.1,83.9,9,1
41.0,1,Åbyhøj,1,4+,privat,4675.0,2026-02-01,boligportal,11200,15,3.5,114.0,2,0
80.0,3,Skejby,0,3,privat,10900.0,2025-04-11,boligportal,6700,8,7.8,136.2,4,0
48.0,3,Aarhus C,0,3,privat,9000.0,2024-06-19,boligportal,8200,18,0.5,187.5,6,0
81.0,3,Trøjborg,0,1,privat,10700.0,2025-05-23,boligportal,7300,45,2.1,132.1,5,0
16.0,1,Viby,1,2,privat,2200.0,2025-01-21,boligportal,15600,28,6.0,137.5,1,0
21.0,1,Viby,0,4+,almen,2200.0,2026-06-13,boligportal,15600,28,6.0,104.8,6,1
77.0,3,Aarhus C,1,1,privat,14900.0,2025-03-04,boligportal,8200,18,0.5,193.5,3,0
66.0,2,Vejlby,1,stuen,privat,7350.0,2025-02-06,boligportal,9800,20,5.2,111.4,2,0
54.0,3,Trøjborg,0,1,almen,5275.0,2025-11-30,boligportal,7300,45,2.1,97.7,11,1
71.0,3,Trøjborg,0,stuen,almen,6700.0,2025-11-11,boligportal,7300,45,2.1,94.4,11,1
86.0,3,Aarhus C,0,2,privat,16775.0,2024-08-29,boligportal,8200,18,0.5,195.1,8,0
58.0,2,Aarhus C,1,3,privat,10350.0,2026-04-19,boligportal,8200,18,0.5,178.4,4,0
119.0,5,Vejlby,1,1,privat,14825.0,2026-01-25,boligportal,9800,20,5.2,124.6,1,0
33.0,2,Brabrand,0,2,privat,3500.0,2025-04-19,boligportal,13100,24,5.5,106.1,4,0
66.0,4,Aarhus C,0,4+,privat,12850.0,2025-08-03,boligportal,8200,18,0.5,194.7,8,0
32.0,2,Trøjborg,0,3,almen,3600.0,2026-05-19,boligportal,7300,45,2.1,112.5,5,1
89.0,4,Vejlby,0,stuen,privat,11725.0,2026-03-30,boligportal,9800,20,5.2,131.7,3,0
58.0,3,Centrum,1,stuen,privat,9625.0,2025-04-20,boligportal,6100,22,0.2,165.9,4,0
82.0,2,Vejlby,0,2,privat,10800.0,2025-04-14,boligportal,9800,20,5.2,131.7,4,0
74.0,1,Vejlby,0,2,privat,7800.0,2025-10-11,boligportal,9800,20,5.2,105.4,10,0
68.0,2,Aarhus C,0,2,privat,11500.0,2025-01-17,boligportal,8200,18,0.5,169.1,1,0
48.0,1,Risskov,1,1,privat,7325.0,2024-06-16,boligportal,9400,12,4.8,152.6,6,0
99.0,4,Centrum,1,2,privat,18300.0,2026-04-04,boligportal,6100,22,0.2,184.8,4,0
105.0,3,Trøjborg,0,3,almen,11125.0,2026-03-17,boligportal,7300,45,2.1,106.0,3,1
55.0,3,Hasle,0,4+,privat,6225.0,2025-10-07,boligportal,10300,19,3.9,113.2,10,0
87.0,4,Risskov,0,1,almen,9025.0,2026-04-09,boligportal,9400,12,4.8,103.7,4,1
70.0,2,Centrum,0,2,privat,12275.0,2025-01-07,boligportal,6100,22,0.2,175.4,1,0
88.0,3,Risskov,0,1,almen,8600.0,2026-02-23,boligportal,9400,12,4.8,97.7,2,1
96.0,3,Centrum,1,1,almen,9825.0,2026-04-01,boligportal,6100,22,0.2,102.3,4,1
47.0,1,Brabrand,0,1,almen,3450.0,2025-07-30,boligportal,13100,24,5.5,73.4,7,1
93.0,3,Viby,0,3,privat,10850.0,2024-08-27,boligportal,15600,28,6.0,116.7,8,0
40.0,1,Viby,1,3,privat,4050.0,2024-09-17,boligportal,15600,28,6.0,101.2,9,0
68.0,3,Centrum,1,1,almen,7125.0,2026-02-22,boligportal,6100,22,0.2,104.8,2,1
80.0,3,Hasle,1,1,privat,9250.0,2025-05-10,boligportal,10300,19,3.9,115.6,5,0
66.0,3,Viby,0,1,privat,7050.0,2025-04-26,boligportal,15600,28,6.0,106.8,4,0
66.0,3,Brabrand,0,3,privat,7100.0,2024-07-08,boligportal,13100,24,5.5,107.6,7,0
56.0,2,Hasle,1,stuen,almen,4125.0,2025-01-13,boligportal,10300,19,3.9,73.7,1,1
97.0,3,Aarhus C,1,3,privat,18175.0,2025-09-04,boligportal,8200,18,0.5,187.4,9,0
40.0,2,Skejby,0,4+,privat,4975.0,2025-03-11,boligportal,6700,8,7.8,124.4,3,0
80.0,3,Centrum,0,2,almen,9750.0,2026-05-14,boligportal,6100,22,0.2,121.9,5,1
87.0,4,Aarhus C,0,1,almen,10450.0,2024-12-14,boligportal,8200,18,0.5,120.1,12,1
37.0,1,Skejby,1,3,privat,4400.0,2024-11-13,boligportal,6700,8,7.8,118.9,11,0
124.0,5,Åbyhøj,0,1,almen,12600.0,2025-11-21,boligportal,11200,15,3.5,101.6,11,1
76.0,3,Viby,0,stuen,privat,8100.0,2024-06-26,boligportal,15600,28,6.0,106.6,6,0
60.0,2,Skejby,1,3,privat,7600.0,2025-06-15,boligportal,6700,8,7.8,126.7,6,0
48.0,2,Centrum,0,1,almen,5525.0,2026-04-17,boligportal,6100,22,0.2,115.1,4,1
38.0,2,Risskov,1,3,privat,5525.0,2025-11-29,boligportal,9400,12,4.8,145.4,11,0
76.0,3,Centrum,1,3,almen,8650.0,2025-08-08,boligportal,6100,22,0.2,113.8,8,1
70.0,3,Åbyhøj,0,1,privat,8825.0,2025-02-26,boligportal,11200,15,3.5,126.1,2,0
82.0,3,Hasle,0,4+,privat,10425.0,2025-10-28,boligportal,10300,19,3.9,127.1,10,0
86.0,4,Åbyhøj,1,4+,privat,11475.0,2025-04-22,boligportal,11200,15,3.5,133.4,4,0
74.0,3,Vejlby,0,3,privat,9050.0,2025-09-26,boligportal,9800,20,5.2,122.3,9,0
29.0,2,Aarhus C,1,2,privat,5175.0,2025-01-03,boligportal,8200,18,0.5,178.4,1,0
95.0,3,Åbyhøj,1,1,privat,11750.0,2025-04-08,boligportal,11200,15,3.5,123.7,4,0
86.0,4,Skejby,1,3,almen,7350.0,2024-09-07,boligportal,6700,8,7.8,85.5,9,1
76.0,3,Trøjborg,0,1,almen,7750.0,2025-06-08,boligportal,7300,45,2.1,102.0,6,1
106.0,5,Aarhus C,0,1,privat,17450.0,2025-07-21,boligportal,8200,18,0.5,164.6,7,0
96.0,4,Trøjborg,0,2,almen,8550.0,2025-03-24,boligportal,7300,45,2.1,89.1,3,1
