BoligStr_m2;AntalVaer;Omraade;KaeledyrOK;Boligtype;MdLeje;AnnonceDato;addr_text
114.0;4;Åbyhøj;1;privat;12.700;2025-10-12;st.
20.0;2;Centrum;1;privat;3.350;2025-10-03;2. sal
19.0;1;Aarhus C;0;privat;3.350;2025-12-21;3. sal
89.0;4;Viby;0;privat;10.875;2024-11-27;1. sal
62.0;2;Aarhus C;1;almen;7.150;2025-03-10;2. sal
82.0;3;Trøjborg;1;privat;11.400;2026-05-23;1. sal
80.0;2;Viby;1;almen;4.975;2024-08-11;1. sal
66.0;3;Skejby;1;almen;5.350;2024-06-30;1. sal
84.0;3;Trøjborg;0;almen;9.100;2025-04-17;2. sal
72.0;2;Viby;1;privat;7.550;2026-07-15;3. sal
31.0;1;Brabrand;1;privat;3.025;2026-01-19;3. sal
73.0;3;Trøjborg;1;privat;11.300;2024-10-02;1. sal
72.0;3;Hasle;1;almen;5.375;2025-11-18;1. sal
112.0;4;Åbyhøj;1;privat;13.350;2024-09-02;1. sal
41.0;1;Risskov;1;privat;6.600;2026-04-11;3. sal
68.0;3;Brabrand;0;privat;7.525;2025-02-09;3. sal
58.0;2;Viby;1;privat;6.250;2025-04-10;3. sal
65.0;3;Aarhus C;0;privat;11.575;2026-02-06;1. sal
108.0;4;Åbyhøj;0;almen;9.750;2026-05-11;1. sal
77.0;3;Risskov;1;privat;11.575;2024-06-29;4. sal el. højere
57.0;2;Åbyhøj;0;privat;7.425;2025-12-28;2. sal
72.0;3;Skejby;0;almen;6.825;2026-04-09;3. sal
86.0;3;Risskov;1;privat;13.800;2025-04-04;1. sal
44.0;1;Vejlby;0;privat;4.725;2024-08-18;2. sal
62.0;2;Centrum;0;privat;10.600;2024-12-23;1. sal
105.0;3;Trøjborg;0;privat;15.075;2025-04-13;2. sal
89.0;3;Hasle;1;privat;10.575;2025-01-22;2. sal
67.0;3;Skejby;0;privat;9.550;2024-08-18;4. sal el. højere
57.0;2;Risskov;1;almen;6.050;2026-06-11;1. sal
64.0;3;Centrum;1;almen;6.975;2026-07-12;3. sal
31.0;2;Vejlby;1;privat;3.650;2026-01-02;1. sal
91.0;2;Trøjborg;0;almen;8.550;2025-03-13;2. sal
76.0;3;Brabrand;1;almen;4.850;2025-02-28;4. sal el. højere
71.0;2;Risskov;0;privat;11.825;2025-07-13;1. sal
37.0;2;Hasle;1;almen;2.975;2025-04-18;2. sal
51.0;2;Centrum;0;almen;5.800;2025-04-03;4. sal el. højere
80.0;3;Viby;0;almen;6.650;2025-04-10;3. sal
74.0;3;Hasle;1;privat;8.425;2026-04-25;4. sal el. højere
56.0;2;Centrum;1;almen;6.050;2025-01-14;2. sal
80.0;3;Trøjborg;0;privat;11.725;2026-07-22;1. sal
91.0;2;Skejby;0;privat;12.525;2025-07-08;st.
52.0;1;Trøjborg;1;privat;7.975;2026-04-12;4. sal el. højere
55.0;2;Aarhus C;0;almen;6.675;2025-03-23;st.
47.0;1;Viby;1;almen;3.575;2025-07-14;4. sal el. højere
40.0;1;Trøjborg;0;privat;5.750;2026-06-12;4. sal el. højere
87.0;4;Centrum;1;privat;15.625;2025-01-27;4. sal el. højere
80.0;3;Aarhus C;0;almen;9.075;2025-04-25;3. sal
76.0;3;Åbyhøj;0;almen;7.050;2024-10-13;3. sal
40.0;1;Risskov;0;privat;5.875;2025-05-25;1. sal
43.0;2;Viby;1;privat;4.925;2025-10-20;3. sal
66.0;2;Centrum;0;privat;11.675;2025-04-30;2. sal
58.0;2;Aarhus C;0;privat;10.775;2025-11-15;2. sal
71.0;2;Hasle;1;almen;4.875;2025-01-14;st.
51.0;2;Trøjborg;1;almen;4.675;2025-12-03;st.
84.0;4;Hasle;1;privat;9.575;2025-02-10;3. sal
111.0;3;Åbyhøj;0;almen;7.825;2024-07-25;st.
105.0;3;Hasle;1;almen;8.800;2024-06-17;3. sal
107.0;4;Brabrand;1;almen;7.750;2026-07-05;2. sal
70.0;2;Aarhus C;0;almen;7.100;2025-12-07;st.
90.0;3;Centrum;1;privat;14.975;2026-03-31;2. sal
59.0;3;Centrum;0;almen;7.050;2025-03-24;3. sal
90.0;3;Brabrand;0;almen;5.750;2026-05-13;4. sal el. højere
59.0;3;Skejby;0;almen;4.775;2025-01-31;1. sal
56.0;2;Hasle;1;privat;7.150;2025-04-27;1. sal
53.0;1;Brabrand;1;privat;5.175;2025-01-15;2. sal
85.0;3;Viby;1;privat;9.475;2024-09-04;2. sal
75.0;3;Hasle;1;privat;9.250;2026-05-11;1. sal
72.0;2;Brabrand;1;privat;7.075;2025-05-30;1. sal
41.0;1;Vejlby;0;privat;5.025;2024-11-21;st.
71.0;3;Viby;1;privat;8.275;2024-06-30;2. sal
