Størrelse (m2),Værelser,Bydel,Kæledyr tilladt,Etage,Boligtype,Husleje (kr/md),Dato
62.0,2,Aarhus C,Nej,1,almen,8050.0,2026-04-24
88.0,3,Centrum,Ja,3,privat,16175.0,2024-09-09
99.0,4,Brabrand,Nej,4+,almen,5525.0,2026-01-07
74.0,4,Trøjborg,Nej,2,almen,7100.0,2025-08-13
62.0,2,Trøjborg,Ja,4+,almen,5525.0,2026-04-28
17.0,1,Trøjborg,Nej,3,privat,2475.0,2025-07-28
84.0,3,Skejby,Nej,2,privat,12550.0,2024-09-09
75.0,2,Vejlby,Nej,1,almen,6425.0,2024-07-26
103.0,4,Aarhus C,Ja,1,almen,10925.0,2026-07-28
77.0,4,Risskov,,2,privat,12400.0,2024-07-28
91.0,3,Viby,Nej,3,privat,10675.0,2025-12-03
60.0,3,Centrum,Nej,1,privat,10875.0,2025-03-23
49.0,2,Trøjborg,Nej,1,almen,4600.0,2024-08-23
49.0,1,Trøjborg,Nej,2,almen,4675.0,2024-12-17
68.0,2,Åbyhøj,Ja,2,almen,4700.0,2024-09-26
35.0,2,Risskov,Nej,3,privat,5275.0,2025-02-02
68.0,3,Centrum,Nej,stuen,almen,8000.0,2024-12-01
46.0,2,Centrum,Nej,2,privat,8250.0,2024-08-10
62.0,2,Vejlby,Ja,1,almen,5900.0,2024-07-19
71.0,3,Vejlby,Nej,4+,privat,10000.0,2025-12-31
65.0,3,Aarhus C,Nej,2,almen,7525.0,2024-12-27
64.0,2,Trøjborg,Nej,stuen,privat,8550.0,2025-10-29
77.0,3,Trøjborg,Ja,3,almen,7300.0,2024-11-25
57.0,2,Aarhus C,Ja,3,privat,11600.0,2026-06-15
118.0,4,Vejlby,Ja,stuen,privat,15225.0,2026-02-10
22.0,1,Vejlby,Ja,3,almen,2200.0,2025-02-11
86.0,4,Vejlby,Nej,2,privat,10725.0,2025-07-23
54.0,3,Centrum,Nej,stuen,privat,9750.0,2025-11-18
96.0,4,Risskov,Nej,4+,privat,14650.0,2024-10-30
70.0,3,Skejby,,4+,almen,6825.0,2024-08-31
89.0,3,Trøjborg,Nej,1,privat,14100.0,2025-02-13
75.0,2,Viby,Ja,stuen,privat,8625.0,2025-09-22
70.0,3,Vejlby,Nej,2,privat,8575.0,2025-05-24
108.0,5,Aarhus C,Ja,stuen,privat,19625.0,2024-12-31
83.0,2,Brabrand,Ja,2,privat,9250.0,2025-03-09
68.0,2,Hasle,Ja,1,privat,7875.0,2026-02-25
54.0,2,Viby,Ja,1,almen,3900.0,2026-03-15
83.0,3,Skejby,Nej,4+,almen,8300.0,2024-09-01
84.0,3,Viby,Nej,stuen,privat,10525.0,2025-02-17
70.0,2,Aarhus C,Ja,1,privat,13450.0,2026-06-11
103.0,4,Viby,Nej,3,privat,11100.0,2026-07-18
160.0,6,Viby,Nej,1,privat,20200.0,2025-12-12
80.0,3,Centrum,Nej,2,privat,12975.0,2025-11-25
67.0,2,Skejby,Nej,1,privat,8900.0,2026-04-08
49.0,2,Aarhus C,,2,privat,7950.0,2025-01-23
37.0,1,Åbyhøj,Nej,1,privat,4675.0,2024-08-09
43.0,1,Skejby,Ja,stuen,almen,3575.0,2026-01-07
34.0,2,Skejby,Ja,2,privat,4775.0,2026-04-28
101.0,4,Åbyhøj,Ja,2,privat,13050.0,2024-07-10
77.0,3,Viby,Nej,3,almen,5525.0,2026-07-06
16.0,1,Viby,Ja,1,privat,2200.0,2026-03-01
84.0,4,Brabrand,Nej,stuen,privat,8550.0,2025-07-10
119.0,4,Åbyhøj,Ja,1,almen,11475.0,2025-07-07
46.0,3,Aarhus C,Nej,4+,privat,8200.0,2025-07-29
63.0,3,Åbyhøj,Ja,2,privat,8075.0,2026-05-24
62.0,2,Brabrand,Nej,1,almen,4200.0,2024-10-22
36.0,2,Centrum,Ja,1,privat,6400.0,2025-06-23
58.0,3,Hasle,Nej,1,almen,5325.0,2025-09-22
57.0,2,Aarhus C,Ja,1,almen,5825.0,2024-09-16
38.0,1,Trøjborg,Nej,1,almen,3625.0,2024-12-10
75.0,2,Åbyhøj,Nej,1,privat,9875.0,2026-06-26
48.0,2,Åbyhøj,Ja,1,almen,4025.0,2025-06-22
68.0,2,Trøjborg,Nej,1,privat,9925.0,2026-02-10
133.0,5,Viby,Ja,2,privat,13600.0,2026-02-18
73.0,3,Aarhus C,,1,privat,14050.0,2025-04-03
56.0,3,Åbyhøj,Nej,2,almen,4900.0,2025-02-07
110.0,5,Vejlby,Nej,stuen,almen,7800.0,2025-04-29
69.0,2,Brabrand,Nej,4+,privat,7675.0,2026-01-09
77.0,3,Skejby,Ja,stuen,almen,6800.0,2025-01-01
73.0,2,Aarhus C,Nej,4+,privat,13525.0,2025-12-13
83.0,4,Viby,Ja,1,privat,9000.0,2025-09-11
43.0,2,Vejlby,Nej,3,almen,3350.0,2024-11-28
90.0,4,Vejlby,Ja,2,privat,12225.0,2024-12-21
76.0,3,Viby,,stuen,privat,8900.0,2026-03-03
22.0,1,Trøjborg,Nej,2,almen,2200.0,2024-12-11
57.0,3,Risskov,Nej,3,almen,6375.0,2024-12-21
95.0,4,Viby,Ja,1,almen,7450.0,2024-08-07
56.0,2,Aarhus C,Nej,1,privat,10275.0,2025-04-25
87.0,4,Vejlby,Nej,stuen,almen,6675.0,2025-03-27
74.0,2,Trøjborg,Ja,1,privat,10500.0,2026-01-23
70.0,3,Vejlby,Ja,2,privat,8900.0,2025-08-18
85.0,3,Risskov,Ja,4+,privat,11975.0,2024-07-22
114.0,3,Viby,Ja,3,privat,11500.0,2024-12-13
127.0,5,Trøjborg,Ja,stuen,privat,19250.0,2024-09-24
57.0,3,Viby,Nej,1,almen,4925.0,2025-01-13
51.0,2,Viby,Ja,1,privat,5475.0,2024-09-22
44.0,1,Aarhus C,Nej,4+,privat,6825.0,2025-06-30
105.0,3,Trøjborg,Nej,stuen,privat,14475.0,2026-07-06
83.0,2,Hasle,Nej,2,privat,10425.0,2024-11-03
96.0,3,Centrum,Nej,4+,privat,17200.0,2025-02-20
55.0,2,Åbyhøj,,3,privat,6850.0,2025-11-29
94.0,3,Risskov,Nej,1,privat,14350.0,2025-07-01
76.0,2,Aarhus C,Ja,3,almen,8625.0,2026-07-03
80.0,3,Hasle,Nej,1,privat,10000.0,2024-10-29
23.0,1,Skejby,Nej,2,privat,2850.0,2025-08-26
62.0,2,Åbyhøj,Nej,3,almen,5075.0,2026-05-27
52.0,2,Åbyhøj,Nej,4+,almen,3575.0,2026-03-01
76.0,4,Åbyhøj,Nej,3,privat,10050.0,2024-11-08
58.0,1,Risskov,Ja,4+,privat,8125.0,2025-02-10
38.0,2,Centrum,Nej,stuen,privat,6800.0,2025-08-20
76.0,3,Skejby,Ja,stuen,privat,10425.0,2025-09-28
81.0,3,Vejlby,Ja,stuen,almen,6725.0,2025-01-07
72.0,3,Åbyhøj,Nej,3,almen,7200.0,2026-06-28
88.0,4,Åbyhøj,Ja,3,almen,6700.0,2026-02-10
82.0,3,Vejlby,Nej,stuen,almen,7275.0,2024-10-05
85.0,3,Risskov,Ja,1,privat,12425.0,2026-05-13
82.0,3,Skejby,Ja,1,almen,7625.0,2026-05-18
54.0,2,Trøjborg,Ja,2,almen,5100.0,2025-11-12
45.0,1,Åbyhøj,Nej,2,privat,5225.0,2024-11-09
88.0,4,Risskov,Nej,3,almen,8900.0,2025-02-01
18.0,1,Trøjborg,Nej,1,almen,2200.0,2024-08-21
67.0,2,Centrum,Nej,2,privat,11175.0,2026-04-25
83.0,4,Viby,Ja,1,privat,9550.0,2025-05-31
75.0,3,Brabrand,,2,almen,5275.0,2024-09-25
71.0,3,Brabrand,Nej,4+,almen,5700.0,2025-02-07
59.0,3,Aarhus C,Nej,1,almen,7100.0,2025-02-13
39.0,2,Trøjborg,Ja,3,privat,5450.0,2025-11-10
67.0,3,Viby,Ja,1,privat,8125.0,2026-07-01
65.0,2,Aarhus C,Ja,2,privat,11925.0,2025-11-15
56.0,3,Åbyhøj,,stuen,privat,7500.0,2026-07-17
85.0,4,Hasle,Ja,4+,almen,6950.0,2024-07-17
27.0,1,Brabrand,Ja,1,almen,2200.0,2026-05-12
60.0,3,Trøjborg,Ja,3,almen,5575.0,2024-11-12
76.0,2,Åbyhøj,Ja,3,privat,9775.0,2025-02-09
19.0,1,Risskov,Ja,1,privat,2675.0,2024-07-14
75.0,2,Centrum,Ja,3,privat,12075.0,2026-04-09
35.0,1,Hasle,Nej,3,privat,4175.0,2024-09-30
74.0,2,Viby,Nej,2,privat,8275.0,2026-03-25
46.0,1,Viby,Nej,stuen,almen,3500.0,2025-04-10
48.0,2,Vejlby,Nej,3,privat,6075.0,2025-08-18
92.0,4,Aarhus C,Ja,4+,privat,15475.0,2025-01-17
71.0,3,Viby,Nej,3,almen,5275.0,2025-04-02
34.0,1,Aarhus C,Nej,1,privat,5675.0,2025-03-02
27.0,1,Skejby,Ja,1,privat,3675.0,2024-12-13
113.0,3,Åbyhøj,Nej,1,privat,14250.0,2024-08-20
47.0,3,Centrum,Ja,2,privat,7850.0,2024-09-16
75.0,3,Viby,Nej,4+,privat,8575.0,2024-06-04
47.0,1,Skejby,Ja,1,privat,6325.0,2024-06-04
84.0,4,Aarhus C,,4+,privat,14650.0,2026-06-24
84.0,4,Centrum,Nej,1,almen,8725.0,2026-04-20
83.0,4,Aarhus C,Nej,2,privat,15775.0,2026-05-09
53.0,2,Risskov,Ja,stuen,privat,7750.0,2026-05-26
84.0,3,Aarhus C,Ja,3,almen,8375.0,2026-02-12
104.0,4,Aarhus C,,4+,privat,20050.0,2025-10-30
65.0,3,Åbyhøj,Ja,2,almen,5575.0,2026-06-08
103.0,4,Brabrand,Nej,2,privat,8600.0,2026-06-10
89.0,4,Viby,Nej,2,almen,6200.0,2024-10-11
57.0,2,Trøjborg,Ja,3,privat,8100.0,2025-02-23
88.0,3,Vejlby,Nej,1,privat,11275.0,2026-07-10
66.0,3,Risskov,Nej,4+,privat,11100.0,2026-03-19
36.0,2,Viby,Nej,1,almen,2625.0,2025-05-05
47.0,2,Aarhus C,Nej,3,privat,8200.0,2025-06-15
98.0,3,Åbyhøj,Nej,2,privat,11250.0,2025-09-11
26.0,1,Skejby,Nej,1,privat,3175.0,2025-08-07
57.0,2,Aarhus C,Nej,2,almen,6625.0,2025-08-10
39.0,2,Centrum,Ja,4+,privat,7125.0,2025-07-02
68.0,2,Vejlby,Ja,4+,almen,5500.0,2024-09-20
121.0,5,Centrum,Nej,4+,privat,20775.0,2025-12-26
54.0,1,Vejlby,Ja,stuen,almen,3850.0,2025-11-11
49.0,1,Brabrand,Nej,2,almen,3375.0,2026-02-02
54.0,2,Aarhus C,Ja,stuen,privat,9025.0,2025-01-23
71.0,2,Åbyhøj,Nej,4+,privat,9850.0,2025-02-06
142.0,5,Skejby,Ja,3,privat,18375.0,2025-04-07
105.0,4,Risskov,Nej,3,privat,16300.0,2024-12-18
16.0,1,Aarhus C,Nej,2,privat,3000.0,2026-07-01
48.0,2,Risskov,Nej,3,privat,6975.0,2026-04-09
103.0,4,Centrum,Nej,3,privat,16650.0,2025-08-10
104.0,5,Brabrand,Ja,3,almen,7100.0,2024-11-25
44.0,3,Vejlby,Nej,2,privat,5475.0,2025-06-28
34.0,1,Åbyhøj,Ja,1,privat,4200.0,2024-07-12
80.0,3,Trøjborg,,2,privat,13025.0,2026-03-25
101.0,4,Trøjborg,Ja,2,almen,8475.0,2025-09-02
41.0,1,Åbyhøj,Ja,4+,privat,4675.0,2026-02-01
80.0,3,Skejby,Nej,3,privat,10900.0,2025-04-11
48.0,3,Aarhus C,Nej,3,privat,9000.0,2024-06-19
81.0,3,Trøjborg,Nej,1,privat,10700.0,2025-05-23
16.0,1,Viby,Ja,2,privat,2200.0,2025-01-21
21.0,1,Viby,Nej,4+,almen,2200.0,2026-06-13
77.0,3,Aarhus C,Ja,1,privat,14900.0,2025-03-04
66.0,2,Vejlby,Ja,stuen,privat,7350.0,2025-02-06
54.0,3,Trøjborg,Nej,1,almen,5275.0,2025-11-30
71.0,3,Trøjborg,Nej,stuen,almen,6700.0,2025-11-11
86.0,3,Aarhus C,Nej,2,privat,16775.0,2024-08-29
58.0,2,Aarhus C,Ja,3,privat,10350.0,2026-04-19
119.0,5,Vejlby,Ja,1,privat,14825.0,2026-01-25
33.0,2,Brabrand,,2,privat,3500.0,2025-04-19
66.0,4,Aarhus C,Nej,4+,privat,12850.0,2025-08-03
32.0,2,Trøjborg,Nej,3,almen,3600.0,2026-05-19
89.0,4,Vejlby,Nej,stuen,privat,11725.0,2026-03-30
58.0,3,Centrum,Ja,stuen,privat,9625.0,2025-04-20
82.0,2,Vejlby,Nej,2,privat,10800.0,2025-04-14
74.0,1,Vejlby,Nej,2,privat,7800.0,2025-10-11
68.0,2,Aarhus C,Nej,2,privat,11500.0,2025-01-17
48.0,1,Risskov,Ja,1,privat,7325.0,2024-06-16
99.0,4,Centrum,Ja,2,privat,18300.0,2026-04-04
105.0,3,Trøjborg,Nej,3,almen,11125.0,2026-03-17
55.0,3,Hasle,Nej,4+,privat,6225.0,2025-10-07
87.0,4,Risskov,Nej,1,almen,9025.0,2026-04-09
70.0,2,Centrum,Nej,2,privat,12275.0,2025-01-07
88.0,3,Risskov,Nej,1,almen,8600.0,2026-02-23
96.0,3,Centrum,Ja,1,almen,9825.0,2026-04-01
47.0,1,Brabrand,Nej,1,almen,3450.0,2025-07-30
93.0,3,Viby,Nej,3,privat,10850.0,2024-08-27
40.0,1,Viby,Ja,3,privat,4050.0,2024-09-17
68.0,3,Centrum,Ja,1,almen,7125.0,2026-02-22
80.0,3,Hasle,Ja,1,privat,9250.0,2025-05-10
66.0,3,Viby,Nej,1,privat,7050.0,2025-04-26
66.0,3,Brabrand,Nej,3,privat,7100.0,2024-07-08
56.0,2,Hasle,Ja,stuen,almen,4125.0,2025-01-13
97.0,3,Aarhus C,Ja,3,privat,18175.0,2025-09-04
40.0,2,Skejby,Nej,4+,privat,4975.0,2025-03-11
80.0,3,Centrum,,2,almen,9750.0,2026-05-14
87.0,4,Aarhus C,Nej,1,almen,10450.0,2024-12-14
37.0,1,Skejby,Ja,3,privat,4400.0,2024-11-13
124.0,5,Åbyhøj,Nej,1,almen,12600.0,2025-11-21
76.0,3,Viby,Nej,stuen,privat,8100.0,2024-06-26
60.0,2,Skejby,Ja,3,privat,7600.0,2025-06-15
48.0,2,Centrum,Nej,1,almen,5525.0,2026-04-17
38.0,2,Risskov,Ja,3,privat,5525.0,2025-11-29
76.0,3,Centrum,Ja,3,almen,8650.0,2025-08-08
70.0,3,Åbyhøj,,1,privat,8825.0,2025-02-26
82.0,3,Hasle,Nej,4+,privat,10425.0,2025-10-28
86.0,4,Åbyhøj,Ja,4+,privat,11475.0,2025-04-22
74.0,3,Vejlby,Nej,3,privat,9050.0,2025-09-26
29.0,2,Aarhus C,Ja,2,privat,5175.0,2025-01-03
95.0,3,Åbyhøj,Ja,1,privat,11750.0,2025-04-08
86.0,4,Skejby,Ja,3,almen,7350.0,2024-09-07
76.0,3,Trøjborg,Nej,1,almen,7750.0,2025-06-08
106.0,5,Aarhus C,Nej,1,privat,17450.0,2025-07-21
96.0,4,Trøjborg,Nej,2,almen,8550.0,2025-03-24
60.0,3,Aarhus C,Ja,3,privat,10825.0,2025-06-19
81.0,3,Trøjborg,Nej,4+,privat,11225.0,2026-01-30
96.0,4,Aarhus C,Nej,3,privat,18925.0,2025-04-05
63.0,3,Aarhus C,Nej,2,privat,12200.0,2025-11-06
39.0,2,Åbyhøj,Ja,4+,almen,3700.0,2025-07-25
74.0,3,Vejlby,Nej,3,privat,8675.0,2024-11-29
54.0,2,Centrum,Nej,stuen,privat,9300.0,2025-05-24
101.0,3,Trøjborg,,2,almen,9500.0,2024-08-15
112.0,4,Aarhus C,Nej,3,almen,12725.0,2024-07-27
118.0,4,Aarhus C,Nej,stuen,privat,20825.0,2025-01-24
103.0,4,Risskov,Ja,stuen,privat,15725.0,2024-07-12
127.0,5,Vejlby,Nej,stuen,privat,15325.0,2025-11-03
57.0,2,Brabrand,Nej,stuen,privat,5225.0,2024-07-27
80.0,4,Viby,Ja,1,almen,7000.0,2026-06-28
