m2_ca,rum,sted,dyr_ok,husleje_dkk,dato
54.0,2.0,Aarhus C,1.0,6875.0,2026-07-28 00:00:00
44.0,2.0,Trøjborg,1.0,4550.0,2025-05-17 00:00:00
73.0,2.0,Vejlby,1.0,9100.0,2024-06-26 00:00:00
85.0,3.0,hasle,1.0,10075.0,2024-09-14 00:00:00
75.0,3.0,City centre,0.0,13500.0,2025-03-17 00:00:00
71.0,2.0,Aabyhoj,1.0,8750.0,2024-06-03 00:00:00
105.0,4.0,Brabrand,0.0,10575.0,2024-08-24 00:00:00
51.0,2.0,vejlby,0.0,6350.0,2024-06-12 00:00:00
66.0,3.0,Risskov,0.0,6975.0,2026-02-07 00:00:00
99.0,3.0,Århus C,0.0,11425.0,2024-08-17 00:00:00
84.0,3.0,Vejlby,1.0,10725.0,2025-04-16 00:00:00
30.0,1.0,Risskov,1.0,4250.0,2025-10-23 00:00:00
126.0,5.0,abyhoej,1.0,13800.0,2025-11-21 00:00:00
92.0,3.0,centrum,0.0,16675.0,2024-10-19 00:00:00
86.0,3.0,Vejlby,1.0,9700.0,2025-07-21 00:00:00
48.0,2.0,Trøjborg,0.0,6575.0,2026-04-27 00:00:00
52.0,2.0,Risskov,0.0,8000.0,2026-01-31 00:00:00
98.0,4.0,risskov,0.0,15750.0,2025-05-12 00:00:00
75.0,4.0,hasle,1.0,4700.0,2024-12-07 00:00:00
69.0,3.0,abyhoej,1.0,9225.0,2026-03-14 00:00:00
89.0,3.0,risskov,1.0,9025.0,2026-01-07 00:00:00
33.0,1.0,skejby,1.0,2850.0,2026-07-07 00:00:00
81.0,2.0,risskov,0.0,11850.0,2025-05-19 00:00:00
63.0,2.0,Aabyhoj,1.0,5125.0,2026-05-18 00:00:00
95.0,3.0,abyhoej,1.0,10875.0,2025-12-09 00:00:00
65.0,3.0,viby j,1.0,4500.0,2025-05-23 00:00:00
54.0,2.0,abyhoej,1.0,6950.0,2025-04-30 00:00:00
48.0,1.0,Trojborg,0.0,6175.0,2025-10-06 00:00:00
82.0,3.0,City centre,1.0,13475.0,2025-01-19 00:00:00
28.0,1.0,City centre,1.0,3225.0,2026-01-12 00:00:00
107.0,4.0,Risskov,0.0,11525.0,2026-06-16 00:00:00
67.0,3.0,Skejby,0.0,5550.0,2024-10-20 00:00:00
78.0,3.0,Århus C,1.0,15025.0,2025-02-19 00:00:00
25.0,1.0,City centre,0.0,3125.0,2026-06-09 00:00:00
46.0,1.0,trøjborg,0.0,4000.0,2026-02-20 00:00:00
146.0,5.0,Brabrand,0.0,18000.0,2026-03-19 00:00:00
71.0,2.0,Vejlby,1.0,8050.0,2024-12-01 00:00:00
81.0,3.0,Risskov,0.0,12375.0,2024-12-25 00:00:00
32.0,1.0,Centrum,1.0,5500.0,2024-09-13 00:00:00
20.0,1.0,Viby J,0.0,2525.0,2026-05-10 00:00:00
48.0,2.0,Trøjborg,0.0,6875.0,2026-03-23 00:00:00
92.0,4.0,AARHUS CENTRUM,0.0,11300.0,2025-11-11 00:00:00
93.0,4.0,Århus C,0.0,11000.0,2026-03-29 00:00:00
45.0,1.0,Århus C,0.0,4800.0,2024-09-19 00:00:00
54.0,3.0,Vejlby,0.0,4650.0,2024-10-25 00:00:00
68.0,3.0,Viby J,1.0,8350.0,2025-12-16 00:00:00
16.0,1.0,Trojborg,0.0,2625.0,2025-07-31 00:00:00
73.0,3.0,Brabrand,0.0,9025.0,2025-05-04 00:00:00
88.0,3.0,Centrum,1.0,10725.0,2025-03-12 00:00:00
91.0,3.0,centrum,1.0,16550.0,2026-02-20 00:00:00
72.0,2.0,Århus C,0.0,13300.0,2025-08-10 00:00:00
56.0,2.0,Centrum,0.0,6375.0,2025-12-16 00:00:00
72.0,2.0,Centrum,0.0,13000.0,2025-08-14 00:00:00
58.0,1.0,Trojborg,1.0,8350.0,2025-05-23 00:00:00
39.0,1.0,centrum,1.0,3900.0,2026-05-19 00:00:00
55.0,1.0,aarhus c,1.0,6025.0,2024-06-18 00:00:00
58.0,2.0,Risskov,0.0,5700.0,2025-06-03 00:00:00
126.0,4.0,Centrum,0.0,22650.0,2025-08-25 00:00:00
51.0,2.0,Hasle,0.0,3950.0,2026-05-31 00:00:00
68.0,2.0,trøjborg,1.0,10150.0,2025-09-29 00:00:00
62.0,2.0,Trøjborg,1.0,9525.0,2025-07-05 00:00:00
46.0,2.0,Skejby,0.0,5700.0,2025-09-25 00:00:00
76.0,2.0,Centrum,0.0,13825.0,2025-11-18 00:00:00
35.0,2.0,trøjborg,0.0,3775.0,2026-04-10 00:00:00
53.0,2.0,vejlby,0.0,7125.0,2024-09-26 00:00:00
69.0,4.0,abyhoej,0.0,9625.0,2024-09-03 00:00:00
76.0,2.0,centrum,0.0,13250.0,2025-06-21 00:00:00
94.0,4.0,Århus C,0.0,18075.0,2025-11-21 00:00:00
90.0,3.0,Brabrand,1.0,10200.0,2026-04-26 00:00:00
24.0,1.0,Aarhus C,0.0,4400.0,2025-11-15 00:00:00
113.0,3.0,Aabyhoj,0.0,9100.0,2024-11-25 00:00:00
59.0,2.0,AARHUS CENTRUM,0.0,10200.0,2024-09-30 00:00:00
165.0,6.0,Viby,0.0,17525.0,2025-06-16 00:00:00
111.0,5.0,Aabyhoj,1.0,13900.0,2026-04-14 00:00:00
50.0,2.0,brabrand,1.0,6075.0,2025-10-16 00:00:00
64.0,2.0,Åbyhøj,0.0,8575.0,2025-01-02 00:00:00
79.0,3.0,trøjborg,1.0,11800.0,2026-01-29 00:00:00
121.0,5.0,Viby J,0.0,14725.0,2025-05-29 00:00:00
83.0,3.0,Brabrand,1.0,7175.0,2026-02-05 00:00:00
56.0,2.0,abyhoej,1.0,7325.0,2025-08-05 00:00:00
72.0,2.0,Skejby,1.0,9425.0,2026-06-11 00:00:00
65.0,3.0,vejlby,0.0,8625.0,2025-07-29 00:00:00
68.0,2.0,vejlby,0.0,8175.0,2025-04-07 00:00:00
85.0,3.0,abyhoej,1.0,10325.0,2026-07-23 00:00:00
92.0,4.0,Skejby,0.0,8775.0,2024-11-15 00:00:00
82.0,3.0,Viby,0.0,9175.0,2025-09-12 00:00:00
40.0,1.0,abyhoej,0.0,5300.0,2024-11-11 00:00:00
48.0,1.0,abyhoej,0.0,6125.0,2025-09-08 00:00:00
64.0,2.0,vejlby,0.0,8225.0,2024-11-26 00:00:00
70.0,2.0,Risskov,1.0,11100.0,2025-03-15 00:00:00
53.0,2.0,City centre,0.0,9450.0,2024-11-10 00:00:00
87.0,3.0,Vejlby,1.0,10600.0,2024-06-24 00:00:00
53.0,2.0,AARHUS CENTRUM,1.0,9850.0,2024-06-26 00:00:00
,2.0,Aarhus,,kontakt for pris,2025-03-01
45,,,1.0,5200,2025-04-12
?,3.0,Aarhus V,0.0,,2025-05-01
