size,num_rooms,location,pet_friendly,floor_level,rental_type,monthly_rent,date_posted
106.0,4,Centrum,no,1,privat,17650 kr,2026-06-30
84.0,3,Hasle,yes,stuen,privat,9825 kr,2025-09-22
64.0,2,Centrum,no,1,almen,7625 kr,2025-05-02
55.0,2,Trøjborg,no,1,privat,7250 kr,2025-09-09
44.0,2,Centrum,yes,1,almen,5200 kr,2024-11-11
91.0,3,Risskov,yes,1,almen,9550 kr,2025-10-09
55.0,3,Aarhus C,no,2,privat,10800 kr,2025-07-26
23.0,1,Åbyhøj,yes,stuen,privat,2950 kr,2025-02-17
45.0,1,Åbyhøj,yes,3,almen,3275 kr,2025-06-17
60.0,2,Skejby,no,4+,almen,4825 kr,2024-08-07
52.0,2,Brabrand,no,1,privat,5575 kr,2026-04-29
117.0,4,Risskov,yes,4+,privat,18075 kr,2026-05-01
57.0,2,Skejby,no,2,privat,8200 kr,2024-10-23
79.0,3,Vejlby,yes,3,almen,5600 kr,2026-01-31
96.0,3,Centrum,no,2,almen,11400 kr,2026-04-25
79.0,3,Centrum,yes,stuen,almen,7925 kr,2025-11-27
60.0,3,Brabrand,yes,1,privat,7025 kr,2026-07-25
65.0,3,Aarhus C,no,4+,almen,8225 kr,2025-09-06
48.0,2,Brabrand,no,1,almen,3025 kr,2025-10-10
46.0,1,Trøjborg,no,2,privat,6075 kr,2025-11-07
46.0,1,Aarhus C,no,3,almen,4950 kr,2025-09-25
75.0,3,Viby,yes,2,privat,7100 kr,2026-01-16
85.0,4,Åbyhøj,yes,stuen,almen,6375 kr,2026-05-16
44.0,2,Risskov,no,4+,privat,6925 kr,2025-08-27
83.0,3,Åbyhøj,yes,2,almen,7325 kr,2025-03-23
63.0,3,Viby,no,2,almen,5275 kr,2025-05-21
94.0,4,Aarhus C,yes,stuen,privat,17800 kr,2025-12-07
73.0,3,Skejby,no,2,privat,9650 kr,2024-11-05
52.0,1,Risskov,no,3,privat,8375 kr,2025-02-24
57.0,2,Viby,no,2,privat,6325 kr,2025-04-21
88.0,3,Vejlby,no,3,privat,11375 kr,2025-07-15
47.0,1,Centrum,no,2,privat,9075 kr,2026-06-16
63.0,2,Viby,yes,3,almen,4875 kr,2026-05-31
80.0,3,Hasle,yes,1,privat,8775 kr,2025-06-02
42.0,2,Aarhus C,yes,1,privat,6825 kr,2026-07-20
59.0,2,Risskov,no,1,privat,8850 kr,2025-01-05
28.0,1,Risskov,yes,4+,privat,4050 kr,2025-04-22
57.0,2,Vejlby,yes,3,privat,7325 kr,2026-01-02
64.0,2,Brabrand,no,2,privat,7050 kr,2024-09-17
48.0,2,Viby,yes,1,almen,4000 kr,2024-06-19
102.0,4,Skejby,no,4+,privat,14200 kr,2025-01-12
49.0,2,Aarhus C,no,1,almen,5850 kr,2025-12-06
28.0,1,Aarhus C,no,3,privat,4850 kr,2026-04-21
87.0,3,Hasle,yes,stuen,almen,5675 kr,2024-11-27
85.0,4,Centrum,no,2,almen,9375 kr,2025-03-02
70.0,2,Aarhus C,no,1,almen,7650 kr,2025-05-21
75.0,3,Trøjborg,yes,3,almen,6050 kr,2024-07-25
64.0,2,Hasle,yes,1,privat,7425 kr,2025-11-26
90.0,3,Aarhus C,yes,4+,privat,16025 kr,2024-07-15
121.0,4,Aarhus C,no,2,privat,21575 kr,2025-05-31
48.0,2,Risskov,no,4+,privat,7500 kr,2026-05-11
54.0,2,Risskov,no,1,almen,4675 kr,2025-10-16
58.0,3,Vejlby,yes,1,privat,7550 kr,2025-12-09
34.0,2,Åbyhøj,no,stuen,privat,4475 kr,2024-10-31
28.0,2,Hasle,no,2,almen,2200 kr,2026-04-19
88.0,4,Hasle,yes,stuen,privat,10025 kr,2025-08-16
105.0,3,Viby,no,1,privat,12125 kr,2025-03-15
44.0,3,Viby,yes,stuen,privat,5800 kr,2025-08-15
77.0,2,Vejlby,no,4+,privat,8750 kr,2025-11-07
92.0,3,Skejby,no,4+,privat,12525 kr,2024-11-16
55.0,1,Brabrand,yes,1,privat,5800 kr,2025-03-06
61.0,2,Centrum,no,2,privat,10475 kr,2025-07-21
78.0,4,Viby,yes,4+,privat,7800 kr,2026-04-02
62.0,2,Trøjborg,yes,3,privat,8750 kr,2026-07-04
44.0,1,Brabrand,no,stuen,privat,4500 kr,2025-06-03
33.0,2,Vejlby,no,2,almen,2925 kr,2024-08-05
91.0,3,Aarhus C,no,1,almen,9975 kr,2024-07-27
39.0,2,Åbyhøj,yes,2,privat,4850 kr,2026-01-15
62.0,2,Hasle,no,3,privat,7075 kr,2026-01-09
103.0,4,Risskov,yes,1,almen,10025 kr,2026-05-24
45.0,1,Risskov,yes,2,privat,7175 kr,2025-10-06
105.0,4,Aarhus C,no,2,privat,18825 kr,2025-12-20
29.0,1,Centrum,no,4+,privat,5350 kr,2025-09-21
50.0,2,Trøjborg,no,3,privat,6850 kr,2024-10-13
88.0,2,Åbyhøj,no,2,almen,6700 kr,2024-08-30
86.0,3,Brabrand,no,4+,privat,9375 kr,2024-09-28
54.0,2,Brabrand,yes,3,privat,5750 kr,2026-01-21
60.0,2,Trøjborg,no,4+,almen,5000 kr,2025-01-23
78.0,3,Centrum,no,3,privat,13650 kr,2025-04-18
31.0,2,Aarhus C,yes,1,privat,5725 kr,2025-03-06
53.0,2,Aarhus C,no,2,almen,5825 kr,2025-06-01
73.0,3,Centrum,no,2,privat,12750 kr,2024-11-29
90.0,3,Aarhus C,yes,1,privat,15900 kr,2025-12-26
45.0,2,Viby,no,1,privat,5225 kr,2025-11-03
65.0,3,Aarhus C,no,4+,almen,7975 kr,2025-10-22
57.0,2,Hasle,no,4+,privat,7250 kr,2024-11-24
74.0,2,Vejlby,no,1,almen,5325 kr,2026-03-17
83.0,3,Viby,no,3,privat,8750 kr,2026-05-24
88.0,3,Skejby,no,4+,privat,12525 kr,2025-11-11
90.0,3,Centrum,no,3,privat,14950 kr,2024-06-17
54.0,2,Skejby,yes,3,privat,7025 kr,2025-12-22
63.0,3,Hasle,yes,4+,almen,5075 kr,2024-11-14
77.0,3,Vejlby,no,3,privat,9075 kr,2025-11-12
86.0,3,Centrum,no,3,privat,15025 kr,2025-12-27
81.0,3,Viby,yes,3,privat,10025 kr,2025-05-09
77.0,2,Hasle,no,1,privat,9450 kr,2025-04-06
46.0,2,Vejlby,yes,1,privat,5700 kr,2025-05-19
68.0,3,Risskov,yes,2,almen,6100 kr,2026-04-13
73.0,2,Centrum,yes,3,almen,7975 kr,2026-02-26
82.0,3,Centrum,yes,2,privat,15550 kr,2024-07-21
70.0,3,Risskov,no,4+,almen,7650 kr,2026-01-11
72.0,2,Viby,no,stuen,privat,8475 kr,2025-06-12
65.0,3,Skejby,no,stuen,privat,9075 kr,2024-12-24
86.0,3,Brabrand,no,1,almen,5400 kr,2026-04-15
62.0,2,Centrum,yes,2,privat,10700 kr,2026-01-22
88.0,3,Centrum,no,3,privat,16125 kr,2025-08-19
63.0,3,Aarhus C,yes,2,almen,7325 kr,2025-01-07
70.0,3,Brabrand,no,stuen,privat,6425 kr,2024-09-04
32.0,1,Vejlby,no,stuen,privat,3725 kr,2024-08-01
93.0,4,Centrum,no,4+,privat,15400 kr,2026-05-26
101.0,3,Risskov,yes,3,almen,10400 kr,2024-10-28
44.0,2,Aarhus C,yes,3,privat,7600 kr,2026-03-29
29.0,1,Brabrand,yes,1,almen,2200 kr,2025-12-15
92.0,3,Skejby,no,4+,privat,12525 kr,2024-11-16
68.0,3,Risskov,yes,2,almen,6100 kr,2026-04-13
102.0,4,Skejby,no,4+,privat,14200 kr,2025-01-12
40.0,1,Brabrand,yes,3,privat,4800 kr,2025-04-06
65.0,2,Centrum,yes,4+,privat,11875 kr,2024-06-04
78.0,3,Centrum,no,3,privat,13650 kr,2025-04-18
101.0,3,Risskov,yes,3,almen,10400 kr,2024-10-28
91.0,4,Hasle,yes,2,almen,7525 kr,2025-10-23
48.0,2,Centrum,no,1,privat,8050 kr,2025-02-10
20.0,1,Centrum,no,1,privat,3350 kr,2025-02-10
